1.000000000000000000e+00;7.619047619047618625e-01;6.000000000000000000e+00;9.000000000000000000e+00;6.000000000000000000e+00;1.846153846153846256e+00;1.846153846153846256e+00;4.000000000000000000e+00;5.000000000000000000e+00;4.000000000000000000e+00;2.000000000000000000e+00
1.846153846153846256e+00;1.846153846153846256e+00;4.000000000000000000e+00;5.000000000000000000e+00;4.000000000000000000e+00;1.000000000000000000e+00;7.619047619047618625e-01;6.000000000000000000e+00;9.000000000000000000e+00;6.000000000000000000e+00;1.000000000000000000e+00
1.906250000000000000e+00;1.062500000000000000e+00;6.000000000000000000e+00;1.700000000000000000e+01;9.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;4.000000000000000000e+00
0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;1.906250000000000000e+00;1.062500000000000000e+00;6.000000000000000000e+00;1.700000000000000000e+01;9.000000000000000000e+00;0.000000000000000000e+00
1.272727272727272707e+00;9.545454545454545858e-01;5.000000000000000000e+00;1.100000000000000000e+01;6.000000000000000000e+00;7.142857142857143016e-01;1.047619047619047672e+00;8.000000000000000000e+00;5.000000000000000000e+00;8.000000000000000000e+00;1.000000000000000000e+00
7.142857142857143016e-01;1.047619047619047672e+00;8.000000000000000000e+00;5.000000000000000000e+00;8.000000000000000000e+00;1.272727272727272707e+00;9.545454545454545858e-01;5.000000000000000000e+00;1.100000000000000000e+01;6.000000000000000000e+00;2.000000000000000000e+00
7.222222222222222099e-01;1.444444444444444420e+00;7.000000000000000000e+00;3.000000000000000000e+00;8.000000000000000000e+00;1.000000000000000000e+00;1.333333333333333259e+00;2.000000000000000000e+00;3.000000000000000000e+00;4.000000000000000000e+00;1.000000000000000000e+00
1.000000000000000000e+00;1.333333333333333259e+00;2.000000000000000000e+00;3.000000000000000000e+00;4.000000000000000000e+00;7.222222222222222099e-01;1.444444444444444420e+00;7.000000000000000000e+00;3.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
1.055555555555555580e+00;1.166666666666666741e+00;6.000000000000000000e+00;5.000000000000000000e+00;7.000000000000000000e+00;5.000000000000000000e-01;1.071428571428571397e+00;6.000000000000000000e+00;2.000000000000000000e+00;6.000000000000000000e+00;1.000000000000000000e+00
5.000000000000000000e-01;1.071428571428571397e+00;6.000000000000000000e+00;2.000000000000000000e+00;6.000000000000000000e+00;1.055555555555555580e+00;1.166666666666666741e+00;6.000000000000000000e+00;5.000000000000000000e+00;7.000000000000000000e+00;1.000000000000000000e+00
7.916666666666666297e-01;1.250000000000000000e+00;8.000000000000000000e+00;5.000000000000000000e+00;1.100000000000000000e+01;1.000000000000000000e+00;1.699999999999999956e+00;2.000000000000000000e+00;2.000000000000000000e+00;6.000000000000000000e+00;1.000000000000000000e+00
1.000000000000000000e+00;1.699999999999999956e+00;2.000000000000000000e+00;2.000000000000000000e+00;6.000000000000000000e+00;7.916666666666666297e-01;1.250000000000000000e+00;8.000000000000000000e+00;5.000000000000000000e+00;1.100000000000000000e+01;0.000000000000000000e+00
1.062500000000000000e+00;1.437500000000000000e+00;9.000000000000000000e+00;9.000000000000000000e+00;1.400000000000000000e+01;5.238095238095238360e-01;1.428571428571428603e+00;7.000000000000000000e+00;3.000000000000000000e+00;1.100000000000000000e+01;2.000000000000000000e+00
